contestant_id,season_number,age,age_n,hometown_city,hometown_state,Lat,Lng,Wins,Wins_n,High,High_n,Safe,Safe_n,Low,Low_n,Bottom,Bottom_n,Number_of_Episodes,season_outcome,Label
1,1,29,-0.4838709677419355,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,2,0.0,1,-0.5555555555555556,1,-0.33333333333333337,1,-0.5,6,4,2
2,1,34,-0.16129032258064513,Bayamon,Puerto Rico,18.3793,-66.1635,1,-0.375,4,0.5,0,-1.0,1,-0.5,0,-1.0,8,2,1
3,1,26,-0.6774193548387097,Fort Lauderdale,Florida,26.1412,-80.1464,1,-0.2857142857142858,1,-0.5714285714285714,1,-0.6190476190476191,1,-0.4285714285714286,2,-0.1428571428571429,7,3,2
4,1,26,-0.6774193548387097,Los Angeles,California,34.1139,-118.4068,2,1.0,2,0.20000000000000018,0,-1.0,0,-1.0,0,-1.0,5,5,3
5,1,39,0.16129032258064524,Raleigh,North Carolina,35.8325,-78.6435,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,9,4
6,1,24,-0.8064516129032258,Cleveland,Ohio,41.4767,-81.6804,0,-1.0,0,-1.0,0,-1.0,0,-1.0,2,1.0,3,7,4
7,1,29,-0.4838709677419355,Long Beach,California,33.7981,-118.1675,0,-1.0,0,-1.0,1,0.33333333333333326,0,-1.0,0,-1.0,2,8,4
8,1,25,-0.7419354838709677,Chicago,Illinois,41.8373,-87.6862,0,-1.0,0,-1.0,2,0.33333333333333326,1,0.0,0,-1.0,4,6,3
9,1,28,-0.5483870967741935,Minneapolis,Minnesota,44.9635,-93.2678,2,0.4285714285714284,1,-0.5714285714285714,2,-0.23809523809523814,0,-1.0,1,-0.5714285714285714,7,1,1
10,2,36,-0.032258064516129004,Atlanta,Georgia,33.7627,-84.4224,0,-1.0,0,-1.0,1,0.33333333333333326,0,-1.0,0,-1.0,2,11,4
11,2,28,-0.5483870967741935,Los Angeles,California,34.1139,-118.4068,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,12,4
12,2,30,-0.4193548387096774,Riverside,California,33.9381,-117.3948,2,0.0,3,-0.09999999999999998,2,-0.4666666666666667,0,-1.0,2,-0.3999999999999999,10,2,1
13,2,25,-0.7419354838709677,Boston,Massachusetts,42.3188,-71.0846,0,-1.0,3,-0.09999999999999998,2,-0.4666666666666667,1,-0.6,3,-0.09999999999999998,10,3,1
14,2,25,-0.7419354838709677,New York,New York,40.6943,-73.9249,1,-0.16666666666666674,0,-1.0,2,-0.11111111111111116,0,-1.0,2,0.0,6,7,3
15,2,28,-0.5483870967741935,Ontario,California,34.0393,-117.6064,1,0.0,0,-1.0,2,0.06666666666666665,0,-1.0,1,-0.3999999999999999,5,8,3
16,2,25,-0.7419354838709677,Bedford,Texas,32.8464,-97.135,0,-1.0,1,0.0,0,-1.0,1,0.33333333333333326,0,-1.0,3,10,4
17,2,29,-0.4838709677419355,San Juan,Puerto Rico,18.4037,-66.0636,1,-0.2857142857142858,3,0.2857142857142858,2,-0.23809523809523814,0,-1.0,0,-1.0,7,6,2
18,2,26,-0.6774193548387097,Atlanta,Georgia,33.7627,-84.4224,0,-1.0,0,-1.0,2,0.33333333333333326,1,0.0,0,-1.0,4,9,3
